Seed Function,Graph Modification,Avg Activated Nodes,Activated Nodes Std Dev,"Avg Activated Nodes, Color (0)","Activated Nodes Std Dev, Color (0)","Avg Activated Nodes, Color (1)","Activated Nodes Std Dev, Color (1)",Avg Color Activation Count,Color Activation Count Std Dev,Number of Nodes,Number of Edges
Centrality,Original Graph,66.762,8.321,64.533,7.607,2.229,1.71,1.03,1.307,2000.0,39980.0
Centrality,PrefAtt,2000.0,0.0,1398.0,0.0,602.0,0.0,1209.008,6.505,2000.0,40080.0
Centrality,Jaccard,2000.0,0.0,1398.0,0.0,602.0,0.0,2259.527,684.87,2000.0,40080.0
Centrality,Degree,2000.0,0.0,1398.0,0.0,602.0,0.0,606.192,5.314,2000.0,40080.0
Centrality,TopK,2000.0,0.0,1398.0,0.0,602.0,0.0,1221.404,7.742,2000.0,40080.0
Centrality,KKT,2000.0,0.0,1398.0,0.0,602.0,0.0,1499.02,299.665,2000.0,40080.0
Centrality,Random,154.828,27.567,118.703,17.82,36.125,14.149,20.304,7.981,2000.0,40080.0
Centrality,Custom,152.049,22.467,90.733,12.919,61.316,12.449,46.201,9.921,2000.0,40080.0
Centrality,Custom V2,134.644,20.76,90.364,13.117,44.28,10.936,36.791,9.085,2000.0,40080.0
Centrality Mixed,Original Graph,122.484,15.242,113.4,12.167,9.084,6.103,5.744,3.765,2000.0,39980.0
Centrality Mixed,PrefAtt,168.106,22.222,141.833,14.574,26.273,11.516,17.522,7.567,2000.0,40080.0
Centrality Mixed,Jaccard,2000.0,0.0,1398.0,0.0,602.0,0.0,2714.715,866.303,2000.0,40080.0
Centrality Mixed,Degree,2000.0,0.0,1398.0,0.0,602.0,0.0,1688.798,415.548,2000.0,40080.0
Centrality Mixed,TopK,2000.0,0.0,1398.0,0.0,602.0,0.0,1233.86,13.584,2000.0,40080.0
Centrality Mixed,KKT,2000.0,0.0,1398.0,0.0,602.0,0.0,1499.707,297.304,2000.0,40080.0
Centrality Mixed,Random,161.682,17.207,140.844,13.554,20.838,7.388,16.604,5.514,2000.0,40080.0
Centrality Mixed,Custom,226.265,24.701,143.664,15.505,82.601,13.422,57.483,10.352,2000.0,40080.0
Centrality Mixed,Custom V2,185.45,20.848,139.026,14.062,46.424,10.747,40.504,8.707,2000.0,40080.0
Degree,Original Graph,2000.0,0.0,1398.0,0.0,602.0,0.0,618.527,4.996,2000.0,39980.0
Degree,PrefAtt,2000.0,0.0,1398.0,0.0,602.0,0.0,620.356,5.046,2000.0,40080.0
Degree,Jaccard,2000.0,0.0,1398.0,0.0,602.0,0.0,617.976,4.818,2000.0,40080.0
Degree,Degree,2000.0,0.0,1398.0,0.0,602.0,0.0,618.288,4.692,2000.0,40080.0
Degree,TopK,2000.0,0.0,1398.0,0.0,602.0,0.0,620.386,5.2,2000.0,40080.0
Degree,KKT,2000.0,0.0,1398.0,0.0,602.0,0.0,618.339,4.953,2000.0,40080.0
Degree,Random,2000.0,0.0,1398.0,0.0,602.0,0.0,625.948,5.341,2000.0,40080.0
Degree,Custom,2000.0,0.0,1398.0,0.0,602.0,0.0,642.833,5.755,2000.0,40080.0
Degree,Custom V2,2000.0,0.0,1398.0,0.0,602.0,0.0,638.782,6.073,2000.0,40080.0
MIA,Original Graph,2000.0,0.0,1398.0,0.0,602.0,0.0,628.374,5.155,2000.0,39980.0
MIA,PrefAtt,2000.0,0.0,1398.0,0.0,602.0,0.0,631.692,5.162,2000.0,40080.0
MIA,Jaccard,2000.0,0.0,1398.0,0.0,602.0,0.0,650.961,5.559,2000.0,40080.0
MIA,Degree,2000.0,0.0,1398.0,0.0,602.0,0.0,629.368,5.264,2000.0,40080.0
MIA,TopK,2000.0,0.0,1398.0,0.0,602.0,0.0,629.788,5.057,2000.0,40080.0
MIA,KKT,2000.0,0.0,1398.0,0.0,602.0,0.0,629.482,5.279,2000.0,40080.0
MIA,Random,2000.0,0.0,1398.0,0.0,602.0,0.0,635.942,5.616,2000.0,40080.0
