Seed Function,Graph Modification,Avg Activated Nodes,Activated Nodes Std Dev,"Avg Activated Nodes, Color (0)","Activated Nodes Std Dev, Color (0)","Avg Activated Nodes, Color (1)","Activated Nodes Std Dev, Color (1)",Avg Color Activation Count,Color Activation Count Std Dev,Number of Nodes,Number of Edges
Centrality,Original Graph,584.007,166.201,231.833,67.64,352.174,99.816,282.678,131.642,10000.0,99990.0
Centrality,PrefAtt,9119.0,0.0,6325.0,0.0,2794.0,0.0,3692.683,436.61,10000.0,100740.0
Centrality,Jaccard,9119.0,0.0,6325.0,0.0,2794.0,0.0,3353.608,339.864,10000.0,100740.0
Centrality,Degree,9119.0,0.0,6325.0,0.0,2794.0,0.0,8552.962,1807.966,10000.0,100740.0
Centrality,TopK,9119.0,0.0,6325.0,0.0,2794.0,0.0,9465.092,2282.771,10000.0,100740.0
Centrality,KKT,9119.0,0.0,6325.0,0.0,2794.0,0.0,10451.735,2693.233,10000.0,100740.0
Centrality,Random,796.28,182.409,363.021,77.137,433.259,106.553,496.325,145.03,10000.0,100740.0
Centrality,Custom,9350.0,0.0,6556.0,0.0,2794.0,0.0,7043.026,1275.471,10000.0,100740.0
Centrality,Custom V2,9256.0,0.0,6436.0,0.0,2820.0,0.0,6940.304,1244.223,10000.0,100740.0
Centrality Mixed,Original Graph,640.351,179.075,252.699,75.262,387.652,104.941,332.591,138.316,10000.0,99990.0
Centrality Mixed,PrefAtt,9119.0,0.0,6325.0,0.0,2794.0,0.0,7144.988,1302.867,10000.0,100740.0
Centrality Mixed,Jaccard,9119.0,0.0,6325.0,0.0,2794.0,0.0,7672.24,1322.086,10000.0,100740.0
Centrality Mixed,Degree,9119.0,0.0,6325.0,0.0,2794.0,0.0,3497.606,354.293,10000.0,100740.0
Centrality Mixed,TopK,9119.0,0.0,6325.0,0.0,2794.0,0.0,6393.632,365.628,10000.0,100740.0
Centrality Mixed,KKT,9119.0,0.0,6325.0,0.0,2794.0,0.0,8873.66,2087.697,10000.0,100740.0
Centrality Mixed,Random,939.962,158.49,405.463,65.939,534.499,94.568,624.704,135.002,10000.0,100740.0
