Seed Function,Graph Modification,Avg Activated Nodes,Activated Nodes Std Dev,"Avg Activated Nodes, Color (0)","Activated Nodes Std Dev, Color (0)","Avg Activated Nodes, Color (1)","Activated Nodes Std Dev, Color (1)",Avg Color Activation Count,Color Activation Count Std Dev,Number of Nodes,Number of Edges
Centrality,Original Graph,992.326,196.03,404.964,115.929,587.362,83.946,420.468,174.732,10000.0,99990.0
Centrality,PrefAtt,8504.0,0.0,5941.0,0.0,2563.0,0.0,21225.086,6696.871,10000.0,101490.0
Centrality,Jaccard,8504.0,0.0,5941.0,0.0,2563.0,0.0,17808.677,4582.032,10000.0,101490.0
Centrality,Degree,8504.0,0.0,5941.0,0.0,2563.0,0.0,6164.043,178.755,10000.0,101490.0
Centrality,TopK,8504.0,0.0,5941.0,0.0,2563.0,0.0,6150.013,163.922,10000.0,101490.0
Centrality,KKT,8504.0,0.0,5941.0,0.0,2563.0,0.0,20950.735,6246.278,10000.0,101490.0
Centrality,Random,1290.39,225.205,605.844,135.434,684.546,94.202,762.012,223.364,10000.0,101490.0
Centrality,Custom,1569.888,209.602,914.538,124.992,655.35,88.604,1379.728,216.035,10000.0,101490.0
Centrality,Custom V2,1579.981,187.956,734.466,111.139,845.515,80.694,1585.641,207.363,10000.0,101490.0
Centrality Mixed,Original Graph,1347.249,166.542,590.972,105.836,756.277,65.456,667.566,172.693,10000.0,99990.0
Centrality Mixed,PrefAtt,8504.0,0.0,5941.0,0.0,2563.0,0.0,11593.764,128.51,10000.0,101490.0
Centrality Mixed,Jaccard,8504.0,0.0,5941.0,0.0,2563.0,0.0,17318.577,4259.271,10000.0,101490.0
Centrality Mixed,Degree,8504.0,0.0,5941.0,0.0,2563.0,0.0,11663.297,132.561,10000.0,101490.0
Centrality Mixed,TopK,8504.0,0.0,5941.0,0.0,2563.0,0.0,16102.968,3729.451,10000.0,101490.0
Centrality Mixed,KKT,8504.0,0.0,5941.0,0.0,2563.0,0.0,11653.538,127.774,10000.0,101490.0
Centrality Mixed,Random,1650.477,189.141,795.385,122.341,855.092,71.929,1024.031,215.896,10000.0,101490.0
Centrality Mixed,Custom,1921.547,164.91,1101.234,105.511,820.313,64.22,1627.683,197.478,10000.0,101490.0
Centrality Mixed,Custom V2,1951.666,165.122,927.366,104.593,1024.3,65.296,1888.89,198.705,10000.0,101490.0
Degree,Original Graph,8504.0,0.0,5941.0,0.0,2563.0,0.0,6809.98,157.766,10000.0,99990.0
Degree,PrefAtt,8504.0,0.0,5941.0,0.0,2563.0,0.0,6879.671,171.889,10000.0,101490.0
Degree,Jaccard,8504.0,0.0,5941.0,0.0,2563.0,0.0,6825.51,163.818,10000.0,101490.0
Degree,Degree,8504.0,0.0,5941.0,0.0,2563.0,0.0,6814.446,160.728,10000.0,101490.0
Degree,TopK,8504.0,0.0,5941.0,0.0,2563.0,0.0,6818.468,169.231,10000.0,101490.0
Degree,KKT,8504.0,0.0,5941.0,0.0,2563.0,0.0,6806.717,157.92,10000.0,101490.0
Degree,Random,8581.0,0.0,6001.0,0.0,2580.0,0.0,7048.222,174.064,10000.0,101490.0
Degree,Custom,8814.0,0.0,5941.0,0.0,2873.0,0.0,7144.223,168.583,10000.0,101490.0
Degree,Custom V2,8889.0,0.0,6174.0,0.0,2715.0,0.0,7872.839,178.35,10000.0,101490.0
MIA,Original Graph,8504.0,0.0,5941.0,0.0,2563.0,0.0,6348.0,0.0,10000.0,99990.0
MIA,PrefAtt,8504.0,0.0,5941.0,0.0,2563.0,0.0,6399.219,58.792,10000.0,101490.0
MIA,Jaccard,8504.0,0.0,5941.0,0.0,2563.0,0.0,6425.761,49.045,10000.0,101490.0
MIA,Degree,8504.0,0.0,5941.0,0.0,2563.0,0.0,6368.893,41.388,10000.0,101490.0
MIA,TopK,8504.0,0.0,5941.0,0.0,2563.0,0.0,6368.745,43.866,10000.0,101490.0
MIA,KKT,8504.0,0.0,5941.0,0.0,2563.0,0.0,6367.012,38.583,10000.0,101490.0
MIA,Random,8571.0,0.0,5991.0,0.0,2580.0,0.0,6493.608,63.002,10000.0,101490.0
MIA,Custom,8581.0,0.0,5941.0,0.0,2640.0,0.0,6547.814,82.475,10000.0,101490.0
MIA,Custom V2,8785.0,0.0,6181.0,0.0,2604.0,0.0,7074.112,95.823,10000.0,101490.0
Polarized,Original Graph,1080.481,272.957,701.546,125.512,378.935,152.879,748.717,473.76,10000.0,99990.0
Polarized,PrefAtt,8588.0,0.0,6025.0,0.0,2563.0,0.0,16031.293,3690.118,10000.0,101490.0
Polarized,Jaccard,1522.732,335.06,1018.567,170.687,504.165,168.309,1210.723,912.65,10000.0,101490.0
Polarized,Degree,8588.0,0.0,6025.0,0.0,2563.0,0.0,18405.033,5718.635,10000.0,101490.0
Polarized,TopK,8588.0,0.0,6025.0,0.0,2563.0,0.0,16413.152,3932.719,10000.0,101490.0
Polarized,KKT,8588.0,0.0,6025.0,0.0,2563.0,0.0,6261.018,436.283,10000.0,101490.0
Polarized,Random,1608.747,369.707,1005.875,184.238,602.872,188.48,1278.192,573.573,10000.0,101490.0
Polarized,Custom,1510.221,321.017,821.229,147.407,688.992,185.095,1484.05,713.834,10000.0,101490.0
Polarized,Custom V2,1346.899,298.988,779.622,137.775,567.277,171.445,1326.686,656.612,10000.0,101490.0
Polarized Centrality,Original Graph,1475.68,201.576,850.481,97.84,625.199,112.554,1092.752,412.682,10000.0,99990.0
Polarized Centrality,PrefAtt,1712.357,231.077,961.149,112.441,751.208,127.519,1389.175,518.56,10000.0,101490.0
Polarized Centrality,Jaccard,8504.0,0.0,5941.0,0.0,2563.0,0.0,17143.531,4368.016,10000.0,101490.0
Polarized Centrality,Degree,8504.0,0.0,5941.0,0.0,2563.0,0.0,6440.239,395.88,10000.0,101490.0
Polarized Centrality,TopK,8504.0,0.0,5941.0,0.0,2563.0,0.0,11697.746,374.316,10000.0,101490.0
Polarized Centrality,KKT,8504.0,0.0,5941.0,0.0,2563.0,0.0,11699.607,397.383,10000.0,101490.0
Polarized Centrality,Random,1762.286,224.725,1032.065,111.68,730.221,120.065,1342.022,458.319,10000.0,101490.0
Polarized Centrality,Custom,8810.0,0.0,5941.0,0.0,2869.0,0.0,12763.94,375.768,10000.0,101490.0
Polarized Centrality,Custom V2,1807.011,192.075,921.216,92.569,885.795,109.09,2011.071,544.437,10000.0,101490.0
Polarized Centrality Mixed,Original Graph,1623.007,181.692,893.365,99.083,729.642,95.149,1305.893,420.636,10000.0,99990.0
Polarized Centrality Mixed,PrefAtt,8504.0,0.0,5941.0,0.0,2563.0,0.0,14148.806,2610.537,10000.0,101490.0
Polarized Centrality Mixed,Jaccard,8504.0,0.0,5941.0,0.0,2563.0,0.0,19057.187,5063.908,10000.0,101490.0
