Seed Function,Graph Modification,Activated Nodes Std Dev,"Activated Nodes Std Dev, Color (0)","Activated Nodes Std Dev, Color (1)",Avg Activated Nodes,"Avg Activated Nodes, Color (0)","Avg Activated Nodes, Color (1)",Avg Color Activation Count,Color Activation Count Std Dev,Number of Edges,Number of Nodes
MIA,Custom,0.0,0.0,0.0,9149.0,6355.0,2794.0,3175.987,10.964,100740.0,10000.0
MIA,Custom V2,0.0,0.0,0.0,9253.0,6338.0,2915.0,3372.35,10.271,100740.0,10000.0
MIA,Degree,0.0,0.0,0.0,9119.0,6325.0,2794.0,3016.628,6.476,100740.0,10000.0
MIA,Jaccard,0.0,0.0,0.0,9119.0,6325.0,2794.0,3147.254,10.988,100740.0,10000.0
MIA,KKT,0.0,0.0,0.0,9119.0,6325.0,2794.0,3017.576,6.445,100740.0,10000.0
MIA,Original Graph,0.0,0.0,0.0,9119.0,6325.0,2794.0,2998.577,5.172,99990.0,10000.0
MIA,PrefAtt,0.0,0.0,0.0,9119.0,6325.0,2794.0,3050.363,8.368,100740.0,10000.0
MIA,Random,0.0,0.0,0.0,9135.0,6335.0,2800.0,3112.224,9.984,100740.0,10000.0
MIA,TopK,0.0,0.0,0.0,9119.0,6325.0,2794.0,3082.15,9.776,100740.0,10000.0
