Seed Function,Graph Modification,Activated Nodes Std Dev,"Activated Nodes Std Dev, Color (0)","Activated Nodes Std Dev, Color (1)",Avg Activated Nodes,"Avg Activated Nodes, Color (0)","Avg Activated Nodes, Color (1)",Avg Color Activation Count,Color Activation Count Std Dev,Number of Edges,Number of Nodes
Centrality Mixed,Custom,0.0,0.0,0.0,9357.0,6563.0,2794.0,5699.064,67.966,100740.0,10000.0
Centrality Mixed,Custom V2,0.0,0.0,0.0,9260.0,6438.0,2822.0,8904.878,2264.375,100740.0,10000.0
Centrality Mixed,Degree,0.0,0.0,0.0,9119.0,6325.0,2794.0,3497.606,354.293,100740.0,10000.0
Centrality Mixed,Jaccard,0.0,0.0,0.0,9119.0,6325.0,2794.0,7672.24,1322.086,100740.0,10000.0
Centrality Mixed,KKT,0.0,0.0,0.0,9119.0,6325.0,2794.0,8873.66,2087.697,100740.0,10000.0
Centrality Mixed,Original Graph,179.075,75.262,104.941,640.351,252.699,387.652,332.591,138.316,99990.0,10000.0
Centrality Mixed,PrefAtt,0.0,0.0,0.0,9119.0,6325.0,2794.0,7144.988,1302.867,100740.0,10000.0
Centrality Mixed,Random,158.49,65.939,94.568,939.962,405.463,534.499,624.704,135.002,100740.0,10000.0
Centrality Mixed,TopK,0.0,0.0,0.0,9119.0,6325.0,2794.0,6393.632,365.628,100740.0,10000.0
