Seed Function,Graph Modification,Activated Nodes Std Dev,"Activated Nodes Std Dev, Color (0)","Activated Nodes Std Dev, Color (1)",Avg Activated Nodes,"Avg Activated Nodes, Color (0)","Avg Activated Nodes, Color (1)",Avg Color Activation Count,Color Activation Count Std Dev,Number of Edges,Number of Nodes
Random,Custom,180.82,83.258,100.39,1302.479,584.876,717.603,1098.715,153.414,100740.0,10000.0
Random,Custom V2,176.924,79.129,100.481,1248.679,600.544,648.135,1065.11,147.654,100740.0,10000.0
Random,Degree,0.0,0.0,0.0,9140.0,6341.0,2799.0,8647.189,1762.38,100740.0,10000.0
Random,Jaccard,235.53,110.228,128.479,1139.84,610.142,529.698,802.712,193.391,100740.0,10000.0
Random,KKT,291.11,147.898,146.427,1906.328,860.026,1046.302,1837.716,413.667,100740.0,10000.0
Random,Original Graph,204.266,89.365,116.583,869.119,418.438,450.681,600.457,163.531,99990.0,10000.0
Random,PrefAtt,0.0,0.0,0.0,9140.0,6341.0,2799.0,9885.332,2545.528,100740.0,10000.0
Random,Random,172.902,77.619,97.682,1154.898,579.672,575.226,844.985,140.919,100740.0,10000.0
Random,TopK,0.0,0.0,0.0,9140.0,6341.0,2799.0,4303.281,376.067,100740.0,10000.0
