Seed Function,Graph Modification,Activated Nodes Std Dev,"Activated Nodes Std Dev, Color (0)","Activated Nodes Std Dev, Color (1)",Avg Activated Nodes,"Avg Activated Nodes, Color (0)","Avg Activated Nodes, Color (1)",Avg Color Activation Count,Color Activation Count Std Dev,Number of Edges,Number of Nodes
Degree,Custom,0.0,0.0,0.0,9360.0,6325.0,3035.0,4848.132,39.055,100740.0,10000.0
Degree,Custom V2,0.0,0.0,0.0,9356.0,6440.0,2916.0,5201.709,40.364,100740.0,10000.0
Degree,Degree,0.0,0.0,0.0,9119.0,6325.0,2794.0,4636.453,37.434,100740.0,10000.0
Degree,Jaccard,0.0,0.0,0.0,9119.0,6325.0,2794.0,4639.693,39.248,100740.0,10000.0
Degree,KKT,0.0,0.0,0.0,9119.0,6325.0,2794.0,4637.94,38.677,100740.0,10000.0
Degree,Original Graph,0.0,0.0,0.0,9119.0,6325.0,2794.0,4636.318,37.969,99990.0,10000.0
Degree,PrefAtt,0.0,0.0,0.0,9119.0,6325.0,2794.0,4672.766,40.81,100740.0,10000.0
Degree,Random,0.0,0.0,0.0,9137.0,6340.0,2797.0,4738.747,40.091,100740.0,10000.0
Degree,TopK,0.0,0.0,0.0,9119.0,6325.0,2794.0,4693.459,38.401,100740.0,10000.0
