Seed Function,Graph Modification,Activated Nodes Std Dev,"Activated Nodes Std Dev, Color (0)","Activated Nodes Std Dev, Color (1)",Avg Activated Nodes,"Avg Activated Nodes, Color (0)","Avg Activated Nodes, Color (1)",Avg Color Activation Count,Color Activation Count Std Dev,Number of Edges,Number of Nodes
Polarized Degree,Custom,0.0,0.0,0.0,9358.0,6325.0,3033.0,6673.467,52.105,100740.0,10000.0
Polarized Degree,Custom V2,0.0,0.0,0.0,9242.0,6325.0,2917.0,6499.072,51.824,100740.0,10000.0
Polarized Degree,Degree,0.0,0.0,0.0,9119.0,6325.0,2794.0,6119.056,50.153,100740.0,10000.0
Polarized Degree,Jaccard,0.0,0.0,0.0,9119.0,6325.0,2794.0,6112.924,49.549,100740.0,10000.0
Polarized Degree,KKT,0.0,0.0,0.0,9119.0,6325.0,2794.0,6118.88,51.019,100740.0,10000.0
Polarized Degree,Original Graph,0.0,0.0,0.0,9119.0,6325.0,2794.0,6114.673,51.551,99990.0,10000.0
Polarized Degree,PrefAtt,0.0,0.0,0.0,9119.0,6325.0,2794.0,6132.703,50.16,100740.0,10000.0
Polarized Degree,Random,0.0,0.0,0.0,9145.0,6343.0,2802.0,6172.285,52.322,100740.0,10000.0
Polarized Degree,TopK,0.0,0.0,0.0,9119.0,6325.0,2794.0,6115.65,48.831,100740.0,10000.0
