Seed Function,Graph Modification,Activated Nodes Std Dev,"Activated Nodes Std Dev, Color (0)","Activated Nodes Std Dev, Color (1)",Avg Activated Nodes,"Avg Activated Nodes, Color (0)","Avg Activated Nodes, Color (1)",Avg Color Activation Count,Color Activation Count Std Dev,Number of Edges,Number of Nodes
Polarized Centrality,Custom,0.0,0.0,0.0,8810.0,5941.0,2869.0,12763.94,375.768,101490.0,10000.0
Polarized Centrality,Custom V2,192.075,92.569,109.09,1807.011,921.216,885.795,2011.071,544.437,101490.0,10000.0
Polarized Centrality,Degree,0.0,0.0,0.0,8504.0,5941.0,2563.0,6440.239,395.88,101490.0,10000.0
Polarized Centrality,Jaccard,0.0,0.0,0.0,8504.0,5941.0,2563.0,17143.531,4368.016,101490.0,10000.0
Polarized Centrality,KKT,0.0,0.0,0.0,8504.0,5941.0,2563.0,11699.607,397.383,101490.0,10000.0
Polarized Centrality,Original Graph,201.576,97.84,112.554,1475.68,850.481,625.199,1092.752,412.682,99990.0,10000.0
Polarized Centrality,PrefAtt,231.077,112.441,127.519,1712.357,961.149,751.208,1389.175,518.56,101490.0,10000.0
Polarized Centrality,Random,224.725,111.68,120.065,1762.286,1032.065,730.221,1342.022,458.319,101490.0,10000.0
Polarized Centrality,TopK,0.0,0.0,0.0,8504.0,5941.0,2563.0,11697.746,374.316,101490.0,10000.0
