Seed Function,Graph Modification,Activated Nodes Std Dev,"Activated Nodes Std Dev, Color (0)","Activated Nodes Std Dev, Color (1)",Avg Activated Nodes,"Avg Activated Nodes, Color (0)","Avg Activated Nodes, Color (1)",Avg Color Activation Count,Color Activation Count Std Dev,Number of Edges,Number of Nodes
Polarized Centrality,Custom,155.796,70.563,88.907,1440.455,666.489,773.966,1395.943,136.365,100740.0,10000.0
Polarized Centrality,Custom V2,173.739,78.05,98.878,1336.4,620.725,715.675,1292.34,150.477,100740.0,10000.0
Polarized Centrality,Degree,0.0,0.0,0.0,9119.0,6325.0,2794.0,9144.092,1964.103,100740.0,10000.0
Polarized Centrality,Jaccard,461.665,199.985,263.479,1640.411,830.845,809.566,1195.973,385.747,100740.0,10000.0
Polarized Centrality,KKT,0.0,0.0,0.0,9119.0,6325.0,2794.0,8629.405,1775.721,100740.0,10000.0
Polarized Centrality,Original Graph,170.709,74.388,99.023,933.209,472.057,461.152,690.485,141.053,99990.0,10000.0
Polarized Centrality,PrefAtt,0.0,0.0,0.0,9119.0,6325.0,2794.0,7887.833,1307.942,100740.0,10000.0
Polarized Centrality,Random,211.989,92.41,122.529,1345.808,668.816,676.992,1046.985,188.757,100740.0,10000.0
Polarized Centrality,TopK,0.0,0.0,0.0,9119.0,6325.0,2794.0,7651.545,1308.622,100740.0,10000.0
