Seed Function,Graph Modification,Activated Nodes Std Dev,"Activated Nodes Std Dev, Color (0)","Activated Nodes Std Dev, Color (1)",Avg Activated Nodes,"Avg Activated Nodes, Color (0)","Avg Activated Nodes, Color (1)",Avg Color Activation Count,Color Activation Count Std Dev,Number of Edges,Number of Nodes
Polarized Centrality,Custom,0.0,0.0,0.0,9260.0,6370.0,2890.0,20279.924,5068.566,101490.0,10000.0
Polarized Centrality,Custom V2,0.0,0.0,0.0,9189.0,6370.0,2819.0,22706.587,7013.003,101490.0,10000.0
Polarized Centrality,Degree,0.0,0.0,0.0,9110.0,6370.0,2740.0,17200.838,3957.999,101490.0,10000.0
Polarized Centrality,Jaccard,0.0,0.0,0.0,9110.0,6370.0,2740.0,15854.906,4883.534,101490.0,10000.0
Polarized Centrality,KKT,0.0,0.0,0.0,9110.0,6370.0,2740.0,17429.33,3972.711,101490.0,10000.0
Polarized Centrality,Original Graph,156.118,95.736,62.171,1021.164,804.129,217.035,264.375,94.534,99990.0,10000.0
Polarized Centrality,PrefAtt,0.0,0.0,0.0,9110.0,6370.0,2740.0,20064.163,5304.786,101490.0,10000.0
Polarized Centrality,Random,168.933,114.832,55.491,2203.116,1573.348,629.768,1363.567,350.112,101490.0,10000.0
Polarized Centrality,TopK,0.0,0.0,0.0,9110.0,6370.0,2740.0,17341.087,3872.145,101490.0,10000.0
