Seed Function,Graph Modification,Activated Nodes Std Dev,"Activated Nodes Std Dev, Color (0)","Activated Nodes Std Dev, Color (1)",Avg Activated Nodes,"Avg Activated Nodes, Color (0)","Avg Activated Nodes, Color (1)",Avg Color Activation Count,Color Activation Count Std Dev,Number of Edges,Number of Nodes
Polarized,Custom,321.017,147.407,185.095,1510.221,821.229,688.992,1484.05,713.834,101490.0,10000.0
Polarized,Custom V2,298.988,137.775,171.445,1346.899,779.622,567.277,1326.686,656.612,101490.0,10000.0
Polarized,Degree,0.0,0.0,0.0,8588.0,6025.0,2563.0,18405.033,5718.635,101490.0,10000.0
Polarized,Jaccard,335.06,170.687,168.309,1522.732,1018.567,504.165,1210.723,912.65,101490.0,10000.0
Polarized,KKT,0.0,0.0,0.0,8588.0,6025.0,2563.0,6261.018,436.283,101490.0,10000.0
Polarized,Original Graph,272.957,125.512,152.879,1080.481,701.546,378.935,748.717,473.76,99990.0,10000.0
Polarized,PrefAtt,0.0,0.0,0.0,8588.0,6025.0,2563.0,16031.293,3690.118,101490.0,10000.0
Polarized,Random,369.707,184.238,188.48,1608.747,1005.875,602.872,1278.192,573.573,101490.0,10000.0
Polarized,TopK,0.0,0.0,0.0,8588.0,6025.0,2563.0,16413.152,3932.719,101490.0,10000.0
