Seed Function,Graph Modification,Activated Nodes Std Dev,"Activated Nodes Std Dev, Color (0)","Activated Nodes Std Dev, Color (1)",Avg Activated Nodes,"Avg Activated Nodes, Color (0)","Avg Activated Nodes, Color (1)",Avg Color Activation Count,Color Activation Count Std Dev,Number of Edges,Number of Nodes
Centrality Mixed,Custom,164.91,105.511,64.22,1921.547,1101.234,820.313,1627.683,197.478,101490.0,10000.0
Centrality Mixed,Custom V2,165.122,104.593,65.296,1951.666,927.366,1024.3,1888.89,198.705,101490.0,10000.0
Centrality Mixed,Degree,0.0,0.0,0.0,8504.0,5941.0,2563.0,11663.297,132.561,101490.0,10000.0
Centrality Mixed,Jaccard,0.0,0.0,0.0,8504.0,5941.0,2563.0,17318.577,4259.271,101490.0,10000.0
Centrality Mixed,KKT,0.0,0.0,0.0,8504.0,5941.0,2563.0,11653.538,127.774,101490.0,10000.0
Centrality Mixed,Original Graph,166.542,105.836,65.456,1347.249,590.972,756.277,667.566,172.693,99990.0,10000.0
Centrality Mixed,PrefAtt,0.0,0.0,0.0,8504.0,5941.0,2563.0,11593.764,128.51,101490.0,10000.0
Centrality Mixed,Random,189.141,122.341,71.929,1650.477,795.385,855.092,1024.031,215.896,101490.0,10000.0
Centrality Mixed,TopK,0.0,0.0,0.0,8504.0,5941.0,2563.0,16102.968,3729.451,101490.0,10000.0
