Seed Function,Graph Modification,Activated Nodes Std Dev,"Activated Nodes Std Dev, Color (0)","Activated Nodes Std Dev, Color (1)",Avg Activated Nodes,"Avg Activated Nodes, Color (0)","Avg Activated Nodes, Color (1)",Avg Color Activation Count,Color Activation Count Std Dev,Number of Edges,Number of Nodes
Centrality,Custom,164.219,115.217,50.978,2010.019,1091.478,918.541,1513.114,187.655,101490.0,10000.0
Centrality,Custom V2,0.0,0.0,0.0,9229.0,6412.0,2817.0,12795.221,135.55,101490.0,10000.0
Centrality,Degree,0.0,0.0,0.0,9110.0,6370.0,2740.0,6781.539,174.222,101490.0,10000.0
Centrality,Jaccard,0.0,0.0,0.0,9110.0,6370.0,2740.0,14567.275,2844.212,101490.0,10000.0
Centrality,KKT,0.0,0.0,0.0,9110.0,6370.0,2740.0,18967.146,5678.397,101490.0,10000.0
Centrality,Original Graph,149.242,104.137,46.453,967.546,675.337,292.209,189.069,67.136,99990.0,10000.0
Centrality,PrefAtt,0.0,0.0,0.0,9110.0,6370.0,2740.0,18753.205,5762.145,101490.0,10000.0
Centrality,Random,175.029,122.022,54.565,1463.763,1029.169,434.594,513.757,105.115,101490.0,10000.0
Centrality,TopK,0.0,0.0,0.0,9110.0,6370.0,2740.0,21344.383,6417.371,101490.0,10000.0
