Seed Function,Graph Modification,Activated Nodes Std Dev,"Activated Nodes Std Dev, Color (0)","Activated Nodes Std Dev, Color (1)",Avg Activated Nodes,"Avg Activated Nodes, Color (0)","Avg Activated Nodes, Color (1)",Avg Color Activation Count,Color Activation Count Std Dev,Number of Edges,Number of Nodes
Polarized,Custom,193.442,92.743,104.093,1549.897,746.23,803.667,1429.554,170.829,100740.0,10000.0
Polarized,Custom V2,189.166,90.035,102.273,1430.42,696.839,733.581,1320.798,166.106,100740.0,10000.0
Polarized,Degree,0.0,0.0,0.0,9151.0,6357.0,2794.0,7676.815,1296.267,100740.0,10000.0
Polarized,Jaccard,198.255,91.41,109.624,1253.035,697.924,555.111,888.4,162.863,100740.0,10000.0
Polarized,KKT,0.0,0.0,0.0,9151.0,6357.0,2794.0,8708.811,1753.487,100740.0,10000.0
Polarized,Original Graph,204.494,94.611,112.526,1094.647,565.895,528.752,841.652,168.419,99990.0,10000.0
Polarized,PrefAtt,0.0,0.0,0.0,9151.0,6357.0,2794.0,8345.438,1718.825,100740.0,10000.0
Polarized,Random,189.377,90.492,102.232,1455.242,764.621,690.621,1127.157,158.398,100740.0,10000.0
Polarized,TopK,437.292,241.468,202.174,2392.498,1182.871,1209.627,2211.209,483.762,100740.0,10000.0
