Seed Function,Graph Modification,Activated Nodes Std Dev,"Activated Nodes Std Dev, Color (0)","Activated Nodes Std Dev, Color (1)",Avg Activated Nodes,"Avg Activated Nodes, Color (0)","Avg Activated Nodes, Color (1)",Avg Color Activation Count,Color Activation Count Std Dev,Number of Edges,Number of Nodes
Degree,Custom,0.0,0.0,0.0,9266.0,6370.0,2896.0,7632.316,86.67,101490.0,10000.0
Degree,Custom V2,0.0,0.0,0.0,9423.0,6604.0,2819.0,7991.231,90.756,101490.0,10000.0
Degree,Degree,0.0,0.0,0.0,9110.0,6370.0,2740.0,7004.65,67.871,101490.0,10000.0
Degree,Jaccard,0.0,0.0,0.0,9110.0,6370.0,2740.0,7016.183,72.393,101490.0,10000.0
Degree,KKT,0.0,0.0,0.0,9110.0,6370.0,2740.0,7005.685,70.845,101490.0,10000.0
Degree,Original Graph,0.0,0.0,0.0,9110.0,6370.0,2740.0,7008.085,71.402,99990.0,10000.0
Degree,PrefAtt,0.0,0.0,0.0,9110.0,6370.0,2740.0,7065.197,76.405,101490.0,10000.0
Degree,Random,0.0,0.0,0.0,9158.0,6407.0,2751.0,7182.907,80.378,101490.0,10000.0
Degree,TopK,0.0,0.0,0.0,9110.0,6370.0,2740.0,7007.938,67.88,101490.0,10000.0
