Seed Function,Graph Modification,Activated Nodes Std Dev,"Activated Nodes Std Dev, Color (0)","Activated Nodes Std Dev, Color (1)",Avg Activated Nodes,"Avg Activated Nodes, Color (0)","Avg Activated Nodes, Color (1)",Avg Color Activation Count,Color Activation Count Std Dev,Number of Edges,Number of Nodes
Polarized Centrality Mixed,Custom,145.43,70.761,78.305,1804.943,802.057,1002.886,1803.292,121.401,100740.0,10000.0
Polarized Centrality Mixed,Custom V2,136.309,66.701,73.655,1712.054,774.056,937.998,1732.718,118.366,100740.0,10000.0
Polarized Centrality Mixed,Degree,0.0,0.0,0.0,9119.0,6325.0,2794.0,6298.315,299.453,100740.0,10000.0
Polarized Centrality Mixed,Jaccard,165.323,80.449,89.131,1586.815,793.474,793.341,1245.053,135.151,100740.0,10000.0
Polarized Centrality Mixed,KKT,0.0,0.0,0.0,9119.0,6325.0,2794.0,7322.978,1173.716,100740.0,10000.0
Polarized Centrality Mixed,Original Graph,137.656,66.137,75.262,1371.813,638.028,733.785,1148.3,111.959,99990.0,10000.0
Polarized Centrality Mixed,PrefAtt,0.0,0.0,0.0,9119.0,6325.0,2794.0,8948.65,2084.86,100740.0,10000.0
Polarized Centrality Mixed,Random,132.445,66.33,70.067,1591.982,767.943,824.039,1311.318,108.463,100740.0,10000.0
Polarized Centrality Mixed,TopK,0.0,0.0,0.0,9119.0,6325.0,2794.0,7914.96,1598.234,100740.0,10000.0
