Seed Function,Graph Modification,Activated Nodes Std Dev,"Activated Nodes Std Dev, Color (0)","Activated Nodes Std Dev, Color (1)",Avg Activated Nodes,"Avg Activated Nodes, Color (0)","Avg Activated Nodes, Color (1)",Avg Color Activation Count,Color Activation Count Std Dev,Number of Edges,Number of Nodes
Polarized,Custom,248.257,155.397,100.079,1984.209,1341.476,642.733,1358.856,313.261,101490.0,10000.0
Polarized,Custom V2,232.162,148.742,87.363,1542.49,1115.176,427.314,936.709,297.13,101490.0,10000.0
Polarized,Degree,0.0,0.0,0.0,9163.0,6423.0,2740.0,12624.623,252.184,101490.0,10000.0
Polarized,Jaccard,245.056,166.915,78.996,1492.748,1191.347,301.401,548.228,200.781,101490.0,10000.0
Polarized,KKT,0.0,0.0,0.0,9163.0,6423.0,2740.0,15142.765,2767.372,101490.0,10000.0
Polarized,Original Graph,232.205,159.071,73.921,1246.249,1021.188,225.061,384.683,224.577,99990.0,10000.0
Polarized,PrefAtt,0.0,0.0,0.0,9163.0,6423.0,2740.0,12143.388,195.927,101490.0,10000.0
Polarized,Random,254.31,174.554,80.614,1767.939,1384.822,383.117,726.823,221.83,101490.0,10000.0
Polarized,TopK,0.0,0.0,0.0,9163.0,6423.0,2740.0,12566.296,258.9,101490.0,10000.0
