Seed Function,Graph Modification,Activated Nodes Std Dev,"Activated Nodes Std Dev, Color (0)","Activated Nodes Std Dev, Color (1)",Avg Activated Nodes,"Avg Activated Nodes, Color (0)","Avg Activated Nodes, Color (1)",Avg Color Activation Count,Color Activation Count Std Dev,Number of Edges,Number of Nodes
Polarized Centrality Mixed,Custom,0.0,0.0,0.0,9253.0,6370.0,2883.0,17700.02,3923.593,101490.0,10000.0
Polarized Centrality Mixed,Custom V2,0.0,0.0,0.0,9189.0,6370.0,2819.0,17310.365,3787.236,101490.0,10000.0
Polarized Centrality Mixed,Degree,0.0,0.0,0.0,9110.0,6370.0,2740.0,18583.147,4652.162,101490.0,10000.0
Polarized Centrality Mixed,Jaccard,0.0,0.0,0.0,9110.0,6370.0,2740.0,15890.787,3743.119,101490.0,10000.0
Polarized Centrality Mixed,KKT,0.0,0.0,0.0,9110.0,6370.0,2740.0,12412.864,204.201,101490.0,10000.0
Polarized Centrality Mixed,Original Graph,158.496,98.997,61.393,1123.335,866.542,256.793,319.144,96.661,99990.0,10000.0
Polarized Centrality Mixed,PrefAtt,0.0,0.0,0.0,9110.0,6370.0,2740.0,20589.214,5498.717,101490.0,10000.0
Polarized Centrality Mixed,Random,192.166,123.321,70.317,1575.107,1167.149,407.958,648.666,159.187,101490.0,10000.0
Polarized Centrality Mixed,TopK,0.0,0.0,0.0,9110.0,6370.0,2740.0,15347.165,2804.601,101490.0,10000.0
