Seed Function,Graph Modification,Activated Nodes Std Dev,"Activated Nodes Std Dev, Color (0)","Activated Nodes Std Dev, Color (1)",Avg Activated Nodes,"Avg Activated Nodes, Color (0)","Avg Activated Nodes, Color (1)",Avg Color Activation Count,Color Activation Count Std Dev,Number of Edges,Number of Nodes
Polarized Degree,Custom,0.0,0.0,0.0,8814.0,5941.0,2873.0,14090.406,611.232,101490.0,10000.0
Polarized Degree,Custom V2,165.263,107.791,81.128,2308.318,1059.467,1248.851,3412.402,636.702,101490.0,10000.0
Polarized Degree,Degree,0.0,0.0,0.0,8504.0,5941.0,2563.0,17140.984,3579.831,101490.0,10000.0
Polarized Degree,Jaccard,0.0,0.0,0.0,8504.0,5941.0,2563.0,15268.726,2630.193,101490.0,10000.0
Polarized Degree,KKT,183.665,121.085,83.933,1998.967,1002.723,996.244,2571.349,650.104,101490.0,10000.0
Polarized Degree,Original Graph,175.053,112.459,84.243,1983.964,990.886,993.078,2516.34,605.156,99990.0,10000.0
Polarized Degree,PrefAtt,0.0,0.0,0.0,8504.0,5941.0,2563.0,12751.661,562.379,101490.0,10000.0
Polarized Degree,Random,195.266,126.698,85.238,2247.97,1188.291,1059.679,2698.492,652.598,101490.0,10000.0
Polarized Degree,TopK,0.0,0.0,0.0,8504.0,5941.0,2563.0,15340.626,2663.801,101490.0,10000.0
